14,8,6,9,9,350,422,11957,16,54,3,5,9,9,426,431,5769,16,101,7,5,18,18,349,518,10085,18,99,12,5,21,21,506,699,20023,21,8,19,5,14,14,661,808,24213,23,86,1,12,11,11,236,329,6138,14,93,5,8,11,11,346,537,8354,18,97,6,10,7,7,297,339,9322,14,48,6,8,7,7,455,444,9215,17,2,4,11,8,8,330,483,6375,17,1,2086,2036,0,63,0,72,
79,7,3,13,13,347,401,6993,14,49,7,1,12,12,553,465,8794,15,61,11,2,14,14,573,647,16743,18,9,3,2,20,20,397,381,7012,14,67,7,3,15,15,434,422,8859,14,8,3,2,3,3,270,333,4663,13,2,1,8,1,1,303,361,5440,13,69,0,7,1,1,253,217,2593,11,46,2,6,3,3,325,402,6132,14,36,4,12,2,2,311,303,7528,12,1,1654,1983,0,63,0,155,
57,1,6,10,10,300,421,3784,16,60,17,1,13,13,511,629,23097,20,101,10,3,7,7,335,442,9571,17,10,5,3,5,5,408,471,9227,17,34,5,4,11,11,433,462,12093,17,44,7,6,4,4,403,449,10944,17,88,4,9,6,6,252,392,6752,16,64,1,7,4,4,172,170,4778,10,74,2,4,3,3,476,493,5703,17,75,3,12,3,3,218,242,7115,12,1,2064,1974,390,63,51,212,
41,6,5,10,10,531,579,8613,19,93,19,6,12,12,647,808,22504,23,25,4,5,7,7,294,366,7577,15,46,13,2,14,14,605,690,20245,21,50,0,5,13,13,279,390,3547,16,18,1,8,8,8,235,280,5618,13,1,3,6,2,2,441,494,5402,18,7,9,6,10,10,377,518,16925,18,30,4,13,6,6,242,247,7202,12,97,4,10,11,11,312,411,11497,16,1,2106,1846,0,63,0,173,
30,8,11,18,18,339,450,10419,18,96,11,8,15,15,497,673,12907,22,101,15,3,20,20,506,763,24754,24,93,12,4,10,10,526,710,13026,23,41,6,5,17,17,463,537,9507,20,19,2,10,4,4,264,324,6280,15,95,1,12,7,7,272,432,8417,17,68,4,13,10,10,266,389,9424,17,104,8,8,14,14,404,594,12521,21,10,12,9,8,8,468,633,15162,21,1,2351,1974,0,63,0,195,
102,0,4,2,2,161,205,1049,10,36,0,4,4,4,244,239,2105,11,39,2,8,1,1,304,282,4741,11,104,0,3,0,0,232,233,684,11,96,1,8,1,1,274,346,4364,13,86,7,2,9,9,337,347,5941,13,74,8,1,7,7,607,596,13825,17,67,1,1,12,12,345,327,4156,13,22,8,0,13,13,442,504,16680,16,7,2,1,17,17,315,374,7571,14,0,1694,256,2038,48,63,83,
16,6,7,9,9,320,422,8649,18,98,3,11,7,7,267,313,7524,15,64,2,11,6,6,272,356,7102,16,54,7,10,7,7,435,457,8365,19,82,6,11,6,6,477,780,10041,25,46,12,7,10,10,478,602,13972,21,41,14,5,14,14,557,670,17391,23,106,15,4,17,17,618,778,33685,25,101,4,5,17,17,291,440,10603,18,30,5,4,20,20,288,426,8673,18,0,2496,0,1846,0,63,331,
10,11,2,13,13,666,749,17506,22,92,14,7,14,14,416,542,16736,18,85,4,5,19,19,365,483,6496,17,74,14,5,10,10,617,610,21921,20,75,2,5,14,14,281,266,8586,13,33,2,8,14,14,345,326,10560,14,23,7,12,7,7,301,343,8995,14,106,6,7,10,10,378,457,13736,17,67,4,7,9,9,407,566,9563,19,7,4,11,11,11,290,405,10275,16,1,2056,1983,0,63,0,129,
106,18,3,24,24,601,736,28219,23,41,11,6,11,11,648,625,11847,21,26,4,13,13,13,253,339,5112,15,84,4,3,23,23,313,520,9948,19,97,16,3,16,16,462,582,14194,20,101,10,10,10,10,332,498,13289,19,56,1,11,8,8,294,503,8800,19,40,2,14,11,11,267,298,7613,14,80,3,10,9,9,295,326,5361,15,46,11,10,6,6,469,672,12968,22,1,2350,1854,0,63,0,174,
31,10,4,16,16,433,498,16419,16,71,14,1,16,16,596,810,14739,21,57,4,3,11,11,346,385,6019,14,8,6,1,9,9,440,505,9981,17,100,11,4,18,18,441,528,16966,17,42,1,11,6,6,239,285,4899,12,74,2,10,7,7,274,378,7449,14,93,4,9,2,2,349,416,6399,15,67,3,10,4,4,248,282,5854,12,13,2,9,6,6,318,343,8153,13,1,1812,1983,260,63,51,15,
106,12,6,10,10,437,575,15527,21,21,1,13,10,10,271,318,6968,16,30,4,10,8,8,191,238,5867,13,73,2,8,8,8,428,489,4912,20,38,4,4,10,10,320,379,5614,17,41,9,6,7,7,558,623,10486,22,22,14,4,11,11,527,680,26273,23,61,15,2,8,8,566,746,23052,25,40,1,7,14,14,292,332,7217,16,85,2,5,13,13,312,377,3537,17,0,2611,0,2038,0,63,4,
75,5,2,4,4,274,307,4388,13,98,19,3,12,12,588,672,27318,20,10,10,0,8,8,688,751,12323,21,53,0,6,17,17,421,414,5037,15,96,4,5,11,11,326,381,8981,15,21,0,6,1,1,179,184,1580,10,16,5,9,4,4,291,370,8383,14,67,3,8,8,8,320,367,8741,14,86,1,9,6,6,177,218,6093,11,74,4,6,8,8,321,367,11765,14,1,1902,2047,4,63,3,332,
0,0,0,0,0,100,0,0,0,74,0,2,0,0,250,311,1306,5,69,0,1,0,0,275,159,263,3,44,0,1,0,0,278,296,130,5,104,0,1,0,0,220,206,946,4,5,0,0,1,1,121,245,698,4,8,1,0,0,0,344,253,1165,4,17,1,0,1,1,355,468,1351,6,51,1,0,2,2,251,224,1248,4,56,2,0,0,0,373,382,2487,5,0,296,2047,2047,63,63,15,
74,10,4,15,15,424,493,13837,17,67,16,2,24,24,618,675,21768,20,2,20,2,12,12,629,684,16074,20,78,5,2,21,21,457,634,8552,20,101,7,4,20,20,323,445,10777,16,14,1,14,4,4,211,246,5091,12,84,1,10,5,5,166,163,5136,10,98,2,14,0,0,178,137,2980,9,91,0,12,4,4,161,167,5393,10,93,9,10,1,1,509,634,9964,20,1,2002,2047,256,63,48,36,
7,4,5,15,15,331,471,11046,17,57,8,5,7,7,466,563,6811,19,8,9,2,6,6,555,779,10972,22,106,8,5,14,14,475,665,14650,21,56,8,7,11,11,467,544,12994,19,66,4,7,5,5,344,360,2851,15,52,6,9,9,9,279,408,10102,16,93,6,10,11,11,368,558,11328,19,9,2,5,11,11,248,345,6593,15,1,4,7,3,3,322,341,4361,14,1,2088,1974,0,63,0,160,
88,1,0,0,0,341,280,799,5,109,0,2,1,1,125,109,36,3,16,0,0,1,1,193,139,221,3,79,0,1,1,1,185,175,641,3,55,0,0,0,0,184,121,373,3,74,0,0,0,0,272,342,516,5,45,0,0,0,0,131,126,85,3,47,3,1,0,0,497,468,3027,6,1,0,0,0,0,279,220,289,4,90,0,0,0,0,100,117,651,3,0,304,2047,2047,63,63,189,
47,2,3,8,8,271,294,6171,13,53,12,1,12,12,714,716,11922,20,39,6,3,10,10,505,595,12761,18,41,8,1,6,6,608,635,8953,19,75,2,3,9,9,296,321,7889,13,74,3,5,3,3,318,418,6938,15,9,1,8,3,3,235,284,2176,12,8,1,4,2,2,246,341,1321,14,43,5,8,2,2,429,428,7499,15,57,0,5,4,4,188,253,1777,11,1,1843,2046,0,63,0,212,
73,1,6,4,4,347,315,4475,14,93,1,9,4,4,217,238,3850,12,68,1,7,4,4,155,152,6931,10,23,5,7,1,1,273,251,8255,13,62,3,6,3,3,198,202,5807,11,8,4,2,11,11,428,449,8614,17,26,2,2,15,15,305,408,7518,17,74,8,2,10,10,482,515,11684,19,32,16,1,7,7,441,390,13264,16,71,5,5,18,18,443,467,9433,18,0,2240,0,2038,0,63,157,
11,11,2,5,5,712,685,10823,20,30,1,6,13,13,268,276,5275,12,37,2,4,10,10,278,274,3623,12,65,4,3,13,13,330,440,7008,16,44,2,4,12,12,410,470,8111,16,1,1,3,8,8,491,592,5478,19,14,1,4,2,2,139,83,1857,7,84,7,5,7,7,355,455,12730,16,33,2,6,13,13,374,335,10282,14,74,6,5,7,7,380,417,7618,15,1,1918,1846,256,63,48,296,
0,0,0,0,0,2500,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,1800,0,0,0,1,0,2047,2047,63,63,0,
